Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Macao,77,,66.0,11.0,117,,4988.0,7548.0,660812
Madagascar,42898,958.0,41322.0,618.0,1499,33.0,249510.0,8720.0,28612358
Malawi,61732,2295.0,56966.0,2471.0,3123,116.0,419908.0,21240.0,19769713
Malaysia,2401866,28062.0,2287888.0,85916.0,72997,853.0,32744958.0,995174.0,32903755
Maldives,86324,239.0,84793.0,1292.0,156135,432.0,1562639.0,2826357.0,552881
Mali,15674,558.0,14493.0,623.0,746,27.0,441247.0,21006.0,21005377
Malta,37486,459.0,36362.0,665.0,84605,1036.0,1211456.0,2734232.0,443070
Martinique,42634,670.0,104.0,41860.0,113725,1787.0,376921.0,1005426.0,374887
Mauritania,36759,790.0,35527.0,442.0,7646,164.0,483736.0,100614.0,4807822
Mauritius,16805,141.0,1854.0,14810.0,13185,111.0,358675.0,281422.0,1274508
Mayotte,20439,181.0,2964.0,17294.0,72650,643.0,176919.0,628853.0,281336
Mexico,3762689,284923.0,3122072.0,355694.0,28791,2180.0,11105568.0,84976.0,130689948
Moldova,319614,7309.0,295604.0,16701.0,79471,1817.0,1905136.0,473704.0,4021785
Monaco,3378,34.0,3295.0,49.0,85297,859.0,54960.0,1387774.0,39603
Mongolia,342992,1591.0,307192.0,34209.0,102486,475.0,4030048.0,1204179.0,3346718
Montenegro,138607,2042.0,131610.0,4955.0,220652,3251.0,783265.0,1246902.0,628169
Morocco,942779,14566.0,922456.0,5757.0,25156,389.0,9949564.0,265478.0,37477970
Mozambique,151136,1927.0,148583.0,626.0,4666,59.0,928252.0,28660.0,32388353
Myanmar,490008,18416.0,442610.0,28982.0,8928,336.0,4661256.0,84931.0,54883177
Namibia,128377,3540.0,123921.0,916.0,49366,1361.0,733654.0,282117.0,2600531
Nepal,806517,11305.0,783397.0,11815.0,27050,379.0,4336618.0,145447.0,29815875
Netherlands,2054960,18263.0,1966652.0,70045.0,119585,1063.0,17790280.0,1035276.0,17184099
New Caledonia,10213,245.0,55.0,9913.0,35332,848.0,42756.0,147914.0,289059
New Zealand,5213,28.0,4395.0,790.0,1042,6.0,3816324.0,762944.0,5002100
Nicaragua,16241,207.0,4225.0,11809.0,2414,31.0,,,6726774
Niger,6193,205.0,5875.0,113.0,244,8.0,166338.0,6565.0,25338865
